actividad_de_mayor_tiempo_sp,actividad_pagada_sp,trabajo_externo_por_ingresos_sp,trabajo_sin_pago_sp,disponibilidad_posible_trabajo_sp,cotiza_fondo_de_pensiones,actividad_dedicada_del_negocio,trabajo_sk
Trabajando,,,,,Sí,ACTIVIDADES DE SEGURIDAD,320
Trabajando,,,,,No,PRODUCCION DE CANA DE AZUCAR,321
Trabajando,,,,,No,SERVICIO DE LIMPIEZA DE CULTIVO DE YUCA Y PLATANO,322
Trabajando,,,,,Sí,ENTREGAR RACIONES DIARIAS DE ALIMENTOS A POBLACION VULNERABLE,323
Trabajando,,,,,Sí,SERVICIOS FINANCIEROS EN CONSIGNATARIA,324
Trabajando,,,,,Sí,SERVICIO EDUCACION SUPERIOR,325
Trabajando,,,,,Sí,SERVICIO DE EDUCACION SUPERIOR,326
Trabajando,,,,,No,ELABORACION DE PUERTAS Y VENTANAS EN HIERRO A DIFERENTES EDIFICACIONES,327
Trabajando,,,,,Sí,SERVICIO DE LIMPIEZA DE INSTRUMENTOS HOSPITALARIOS,328
Trabajando,,,,,No,CONSTRUCCION DE OBRAS CIVILES RESIDENCIALES Y NO RESIDENCIALES,329
Trabajando,,,,,No,CONSTRUCCION DE OBRAS CIVILES Y RESIDENCIALES,330
Trabajando,,,,,No,HACER JUGOS DE FRUTAS NATURALES,331
Trabajando,,,,,No,CONSTRUCION DE OBRAS CIVILES Y RESIDENCIALES,332
Trabajando,,,,,Sí,PRODUCIR Y DISTRIBUIR AREPAS,333
Trabajando,,,,,No,PRODUCCION DE PLATANO,334
Trabajando,,,,,No,SERVICIO DE LIMPIEZA DE POTREROS CON PALA EN FINCAS GANADERAS,335
Trabajando,,,,,No,VENTA AMBULANTE DE CONFETIS,336
Oficios del hogar,Sí,,,,Ya es pensionado,OFICIOS Y LIMPIEZA EN OTROS HOGARES,337
Trabajando,,,,,Ya es pensionado,PRODUCCION DE LECHE,338
Trabajando,,,,,Sí,TRANSPORTE TERRESTRE DE CARGA NACIONAL Y INTERNACIONAL,339
Trabajando,,,,,Sí,SERVICIO DE MANTENIMIENTO E INSTALACION DE REDES ELECTRICAS A NIVEL NACIONAL,340
Trabajando,,,,,No,ELABORACION DE TINTOS PARA LA VENTA AMBULANTE,341
Trabajando,,,,,Sí,REGULARIZAR LA CONDICION DE LOS MIGRANTES EN EL PAIS,342
Trabajando,,,,,No,ELABORACION Y VENTA DE ARTICULOS TEJIDOS,343
Otra actividad ¿cuál?,No,No,No,Sí,No,None,344
Oficios del hogar,Sí,,,,No,ASEAR VIVIENDAS A VARIOS HOGARES,345
Buscando trabajo,Sí,,,,No,VENDE FRITURAS,346
Trabajando,,,,,No,LAMINA Y PINTURA,347
Trabajando,,,,,No,SERVICIO DE MOVILIDAD DE PERSONAS EN MOTOCICLETA,348
Trabajando,,,,,Sí,BRINDAR ENSENANZA A NINOS Y ADOLECENTES,349
Trabajando,,,,,Sí,CONSTRUCCION DE OBRAS CIVILES EN GENERAL,350
Trabajando,,,,,Sí,CONFECCION DE UNIFORMES PARA EMPRESAS,351
Trabajando,,,,,Sí,SERVICIO DE HOSPITALIZACION CONSULTA DE PSICOLOGIA Y PSIQUIATRIA,352
Trabajando,,,,,Sí,SERVICIO DE TRANSPORTE DE CARGA TERRESTRE,353
Trabajando,,,,,Sí,SERVICIOS FINANCIEROS EN BANCOS O COOPERATIVAS,354
Trabajando,,,,,No,SERVICIO DE HOSPEDAJE EN MOTEL POR HORAS,355
Trabajando,,,,,Sí,EXTRACION DE ESMERALDAS,356
Otra actividad ¿cuál?,No,Sí,,,Sí,ACTIVIDADES DE ADMINISTRACION PUBLICA,357
Trabajando,,,,,No,HOGAR,358
Trabajando,,,,,No,RECICLADOR DE PAPEL CARTON Y METAL,359
Trabajando,,,,,Sí,ADMINISTRAR EL MUNICIPIO Y ASEGURAR EL CUMPLIMIENTO DE SUS FUNCIONES,360
Trabajando,,,,,No,SERVICIO DE ASEO A HOGARES,361
Trabajando,,,,,No,COMERCIO AL POR MAYOR Y AL MENOR DE VIVERES,362
Trabajando,,,,,No,INDUSTRIA DEL SERVICIO DE ALIMENTOS,363
Trabajando,,,,,Sí,FABRICACION DE DISPOSITIVOS MEDICOS,364
Trabajando,,,,,Sí,VENTA Y COMERCIALIZACION  DE ELECTRODOMESTICOS,365
Trabajando,,,,,Sí,COMERCIALIZACION Y DISTRIBUCION DE PRODUCTOS DE ASEO TIENDA A TIENDA,366
Trabajando,,,,,No,REALIZCION DE PUBLICIDAD,367
Trabajando,,,,,No,PREPARAR ALIMENTOS Y ASEO GENERAL,368
Trabajando,,,,,No,PREPARACION Y VENTAS DE POSTRES AL POR MENOR,369
Buscando trabajo,Sí,,,,No,REALIZACION DE PUBLICIDAD DIGITAL,370
Trabajando,,,,,Sí,EDUCACION SOBRE EL USO DEL CABELLO AFRO A TRAVES DE PLATAFORMAS DIGITALES Y PRESENCIAL,371
Trabajando,,,,,No,LIMPIESA Y ORGANIZACION DE LA VIVIENDA,372
Trabajando,,,,,Sí,VENTA AL POR MENOR DE VIVERES Y ABARROTES,373
Trabajando,,,,,Sí,SERVICIO DE MENSAJERIA  A NIVEL NACIONAL,374
Trabajando,,,,,No,MANTENIMIENTO Y REPARACION DE VIVIENDAS,375
Trabajando,,,,,No,VENTA DE POLLOS ASADOS,376
Trabajando,,,,,Sí,EXTENSIONISTA RURAL,377
Trabajando,,,,,No,CONSTRUCCION DE VIVIENDAS TRABAJA COMO OBRERO,378
Trabajando,,,,,Sí,RESTURANTE COMIDA ARGENTINA,379
Trabajando,,,,,No,COCINERA EN UN RESTAURANTE,380
Oficios del hogar,No,No,Sí,,No,RESTAURANTE VENTA DE ALMUERZOS AYUDA A LA MAMA EN EL RESTAURANTE ALGUNOS DIAS,381
Trabajando,,,,,No,ASOCIACION INDIGENA,382
Trabajando,,,,,Sí,BIENESTAR FAMILIAR,383
Trabajando,,,,,No,SERVICIO DE CIUDADO DE NINO EN HOGAR,384
Trabajando,,,,,Sí,VENTA AL POR MENOR DE CELULARES MOVILES,385
Trabajando,,,,,Sí,COMERCIALIZACION DE PRODUCTOS PARA LA CANASTA FAMILIAR,386
Trabajando,,,,,No,COMERCIO AL POR MENOR DE VIVERES Y ABARROTES,387
Trabajando,,,,,No,PREPARACION CON EXPENDIO A LA MESA DE COMIDAS RAPIDAS,388
Trabajando,,,,,No,REPARACION DE MOTOS,389
Trabajando,,,,,No,ENSENANZA DEL IDIOMA ESPANOL A EXTRANJEROS,390
Trabajando,,,,,No,MECANICA INDUSTRIAL,391
Trabajando,,,,,No,SERVICIO DE MECANICA Y REMOLCACION DE VEHICULOS,392
Trabajando,,,,,No,PREPARACION Y VENTA DE COMIDAS RAPIDAS,393
Trabajando,,,,,No,VENTA DE ALIMENTOS DE PANADERIA DE MANERA AMBULANTE,394
Trabajando,,,,,Sí,COMERCIO DE PARTES GIRATORIAS PARA MUEBLES,395
Trabajando,,,,,No,REPARACION Y  MANTENIMIENTO DE GUADANAS MOTOCIERRAS PLANTAS TALADROS PULIDORAS,396
Trabajando,,,,,No,REALIZACION Y DISENO CONTENIDOS DIGITALES Y PUBLICACIONES PARA VENTA DE PRODUCTOS,397
Trabajando,,,,,Sí,REALIZAR OFICIOS VARIOS COMO HACER DE COMER ORGANIZAR EL APARTAMENTO DEL HOGAR DONDE HABITA LA MAYOR PARTE DEL TIEMPO,398
Trabajando,,,,,No,CONSTRUCCION DE EDIFICACIONES DE USO RESIDENCIAL Y NO RESIDENCIAL,399
Otra actividad ¿cuál?,Sí,,,,Ya es pensionado,PRODUCCION DE PLATANO Y YUCA,400
Trabajando,,,,,Sí,TRANSPORTE DE CARGA,401
Trabajando,,,,,Sí,COMERCIO DE LICORES,402
Trabajando,,,,,No,VENTA DE VIVERES AL POR MENOR,403
Trabajando,,,,,Sí,VENTA DE TODO TIPO DE ACCESORIOS PARA AUTOMOVILES,404
Trabajando,,,,,No,SERVICIO DE TRANSPORTE URBANO DE PASAJEROS,405
Trabajando,,,,,No,AGRICULTURA PARA AUTOCONSUMO,406
Trabajando,,,,,No,PESCA,407
Trabajando,,,,,No,SERVICIOS AGRICOLAS A DIFERENTES HOGARES,408
Trabajando,,,,,Sí,GARANTIZAR LA CONSERVACION DE LA DIVERSIDAD BIOLOGICA DEL ECOSISTEMA DEL PAIS,409
Trabajando,,,,,No,ATENCION Y EDUCACION A PRIMERA INFANCIA,410
Trabajando,,,,,Sí,PREPARACION Y SERVICIO A LA MESA DE PLATOS A LA CARTA,411
Trabajando,,,,,No,SIEMBRA DE CAFE,412
Trabajando,,,,,No,CULTIVO DE CAFE,413
Trabajando,,,,,Sí,CULTIVO DE PALMA AFRICANA,414
Trabajando,,,,,No,SALUD ORAL,415
Estudiando,Sí,,,,Sí,ARQUITECTURA DISENO Y CONSTRUCCION,416
Trabajando,,,,,No,SERVICIOS AGRICOLAS  A DIFERENTES CULTIVOS,417
Trabajando,,,,,No,TOMAR DIGITAR E IMPRIMIR FOTOGRAFIAS,418
Trabajando,,,,,No,VENTA DE PRODUCTOS COMO JABONES FACIALES ACEITES CORPORALES VASOS PLATOS Y TERMOS INCENCIOS VELAS ETC,419
Trabajando,,,,,No,LIMPIA Y GUARANA TERRENOS EN DIFERENTES FINCAS,420
Trabajando,,,,,No,ALQUILER DE LAVADORAS DE ROPA,421
Trabajando,,,,,No,SERVICIO DE CORTE DE CABELLO Y BARBERIA PARA HOMBRES,422
Trabajando,,,,,Sí,PRODUCCION Y COMERCIALIZACION DE INSUMOS PARA OBRAS CIVILES,423
Trabajando,,,,,No,VENTA AL POR MENOR DE JUEGOS DE AZAR CHANCE Y LOTERIAS,424
Trabajando,,,,,Sí,COMERCIALIZACION DE POLLO Y VIVERES AL POR MAYOR,425
Trabajando,,,,,Sí,SERVICIO DE ATENCION A PRIMERA INFANCIA,426
Trabajando,,,,,Sí,SERVICIO PUBLICO DE ACUEDUCTO Y ALCANTARILLADO,427
Trabajando,,,,,Sí,ASEO,428
Trabajando,,,,,No,SERVICIO DE REPARACION DE ESCOPETA DE FISTO,429
Trabajando,,,,,Sí,ADMIMISTRACION DE TRANCITO MUNICIPAL,430
Trabajando,,,,,No,INDEPENDIENTE,431
Trabajando,,,,,No,COMISARIA DE FAMILIA,432
Trabajando,,,,,No,JENNIFER ARENAS,433
Trabajando,,,,,No,SERVICIO DE TRANSPORTE DE CARGA PESADA,434
Trabajando,,,,,No,SIEMBRA Y RECOLECCION DE CAFE,435
Trabajando,,,,,Sí,SERVICIOS DE VIGILANCIA  TRANSPORTE Y ASEO,436
Trabajando,,,,,No,SERVICIO DE HOTEL,437
Trabajando,,,,,No,CAMPANA ELECTORAL PARA CANDIDATO POLITICO,438
Trabajando,,,,,No,CRIA CEBA Y LEVANTE DE GANADO VACUNO PARA LA PRODUCCION DE CARNE,439
Trabajando,,,,,No,JORNALERO SIEMBRA Y COSECHA DE CULTIVOS,440
Trabajando,,,,,No,JORNAL SIEMBRA CUIDADO Y COSECHA DE CULTIVOS EN FINCAS,441
Trabajando,,,,,No,A LA PRODUCCION DE BIENES MATERIALES MEDIANTE INFRAESTRUCTURAS Y EDIFICACIONES,442
Trabajando,,,,,No,RECEPCIONAR ENTREGAR Y CUSTODIAR DINERO EN EFECTIVO,443
Trabajando,,,,,No,SERVICIO DE TRANSPORTE NO REGULAR DE PASAJEROS,444
Trabajando,,,,,Sí,ADMINISTRACION PUBLICA LEGISLATIVA,445
Trabajando,,,,,No,PRODUCCION AGRICOLA,446
Trabajando,,,,,Sí,MANTENER LA SEGURIDAD Y EL ORDEN EN LUGARES PUBLICOS HACER RESPETAR LAS LEYES Y PROTEGER AL CIUDADANO,447
Trabajando,,,,,No,SERVICIOS DE PUBLICIDAD DIGITAL,448
Trabajando,,,,,No,SERVICIO DE HOSPEDAJE A TURISTAS,449
Trabajando,,,,,No,VENTA DE BEBIDAS ALCOHOLICAS Y DEMAS,450
Buscando trabajo,No,No,No,Sí,Sí,None,451
Trabajando,,,,,No,SERVICIOS DE ARREGLO Y MANTENIMIENTO DE VEHICULOS,452
Trabajando,,,,,Sí,PRESTACION DEL SERVICIO DE SALUD,453
Trabajando,,,,,Sí,HOGAR PARA ATENCION Y CUIDADO DE ANCIANOS,454
Trabajando,,,,,No,ATENCION MEDICA ESPECIALIZADA,455
Trabajando,,,,,Sí,SERVICIO DE ASESORIAS EMPRESARIALES,456
Oficios del hogar,Sí,,,,No,SERVICIO DE RESTAURANTE,457
Trabajando,,,,,Sí,CULTIVO NO ESPECIALIZADO DE PEREJIL Y ALBAHACA,458
Trabajando,,,,,No,SERVICIO DE NOTARIADO Y REGISTRO,459
Trabajando,,,,,No,JORNALERO SIEMBRA DE CAFE,460
Trabajando,,,,,No,MAMPOSTERIA PINTURA EN OBRA BLANCA Y NEGRA,461
Trabajando,,,,,Sí,CRIA DE GANADO BOVINO PARA LA PRODUCCION DE LECHE,462
Trabajando,,,,,No,TRANSPORTAR PERSONAS,463
Trabajando,,,,,No,LAVA PLANCHA OFICIOS DE HOGAR,464
Trabajando,,,,,No,TRANSPORTE FLUVIAL DE CARGA Y MERCANCIA,465
Trabajando,,,,,Sí,ADMINISTRACION Y COMERCIALIZACION DE ACTIVOS Y ALOJAMIENTO EN HOTELES,466
Trabajando,,,,,No,PESCADOR ARTESANAL EN AGUA SALADA,467
Trabajando,,,,,Sí,ALQUILER DE INSTRUMENTOS TOPOGRAFICOS,468
Trabajando,,,,,No,ACTIVIDADES DE MENSAJERIA,469
Trabajando,,,,,Sí,ACTIVIDADES VETERINARIAS,470
Trabajando,,,,,No,PRODUCCION  Y VENTA DE CAFE,471
Trabajando,,,,,No,COMPRAR Y VENDER PESCADO AL POR MENOR,472
Trabajando,,,,,Sí,SERVICIO PUBLICO DOMICILIARIO,473
Trabajando,,,,,Sí,SERVICIOS DE ALOJAMIENTO Y TURISMO,474
Trabajando,,,,,No,SERVICIO DE CORTE DE PELO Y AFEITADO,475
Trabajando,,,,,No,SERVICIO DE TRANSPORTE INFORMAL EN AUTO MOVIL,476
Trabajando,,,,,No,COMERCIALIZACION DE BICICLETAS,477
Trabajando,,,,,No,CRIA Y VENTA DE PESCADO DE LAGO,478
Oficios del hogar,Sí,,,,No,VENTA DE HELADOS,479
Trabajando,,,,,No,REALIZA ESTUDIO DIRIGIDOS A NINOS,480
Trabajando,,,,,No,PREPARACION Y VENTA DE COMIDAS RAPIDAS EN LA NOCHE,481
Trabajando,,,,,No,VENTA DE ELECTROMETICOS Y APARATOS ELECTRONICOS,482
Estudiando,No,No,Sí,,No,PREPARACION Y VENTA DE COMIDAS RAPIDAS,483
Estudiando,No,No,Sí,,,PREPARACION Y VENTA DE COMIDAS RAPIDAS,484
Trabajando,,,,,No,CRIA Y CEBA DE GANADO BOVINO,485
Oficios del hogar,Sí,,,,No,ELABORAR VESTIDOS DE BANO TEJIDOS A MANO,486
Trabajando,,,,,No,ARREGLO DE PAREDES DE VIVIENDAS,487
Trabajando,,,,,No,VENTA DE GANADO EQUINO,488
Trabajando,,,,,Sí,SERVICIO TRANSPORTE PUBLICO PERSONAS,489
Trabajando,,,,,No,VENTAS AL POR MENOR DE PRODUCTOS DE ASEO,490
Trabajando,,,,,No,COMERCIO DE PAPELERIA AL POR MENOR,491
Buscando trabajo,Sí,,,,No,VENTA DE COMIDA,492
Trabajando,,,,,No,JORNALERO TRABAJA POR DIAS EN DIFERENTES FINCAS,493
Oficios del hogar,No,No,Sí,,No,TIENEN UNA HUERTA O COSECHA FAMILIAR DE LA CUAL OBTIENEN ALIMENTOS,494
Trabajando,,,,,No,SERVICIO DE LIMPIEZA DE POTREROS EN FINCAS,495
Trabajando,,,,,No,VENTA DE GASEOSAS PAN LECHE HUEVOS,496
Trabajando,,,,,No,ARREGLO DECORACION DE UNAS CORTE DE CABELLO,497
Trabajando,,,,,Sí,SERVICIO DE ESTACIONAMIENTO  TEMPORAL PARA VEHIVULOS,498
Trabajando,,,,,Sí,ASESORA DIRECTIVOS DE EMPRESAS ACERCA DE LA SITUACION FINANCIERA PARA ASI DAR UNA SOLUCION EFECTIVA,499
Trabajando,,,,,No,PESCA ARTESANAL A MAR ABIERTO,500
Trabajando,,,,,No,SERVICIO DE PESCADERIA DE MAR A CIELO ABIERTO,501
Trabajando,,,,,No,CONDUCTOR DE VEHICULO PARTICULAR,502
Buscando trabajo,Sí,,,,No,SERVICIOS DE LAVADO Y PLANCHADO DE ROPA,503
Oficios del hogar,Sí,,,,No,ELABORACION DE ARTESANIA,504
Trabajando,,,,,No,COMERCIO DE PRENDAS DE VESTIR PARA DAMAS CABALLEROS Y NINOS,505
Buscando trabajo,Sí,,,,No,PRESTA SERVICIO DE ASESORIAS EN TRAMITES NOTARIALES INFORME DE GESTION EN OFICINA DE PLANEACION MUNICIPAL,506
Trabajando,,,,,No,PESCADOR ARTESANAL CON TRASMAYO EN MAR,507
Trabajando,,,,,Sí,VENTA DE PRODUCTOS DE DE CONSUMO DE TIENDAS,508
Trabajando,,,,,No,VENTA DE PRODUCTOS PARA EL HOGAR Y VENTA DE ROPA,509
Trabajando,,,,,No,SERVICIOS DE EDUCACION BASICA PRIMARIA,510
Trabajando,,,,,Sí,PROYECTOS DE INVESTIGACION,511
Trabajando,,,,,No,PRODUCCION DE MORA,512
Trabajando,,,,,No,COMERCIO AL POR MENOR DE CARNE FRESCA DE RES Y CERDO,513
Trabajando,,,,,No,CONSTRUCCION,514
Trabajando,,,,,No,PRODUCCION DE YUCA Y MORA,515
Trabajando,,,,,Sí,PRESTAR SERVICIO DE SALUD,516
Trabajando,,,,,No,TRANSPORTE DE PASAJEROS EN MOTO,517
Oficios del hogar,No,No,No,No,Ya es pensionado,None,518
Trabajando,,,,,Sí,SERVICIO DE HOSEDAJE POR DIAS,519
Trabajando,,,,,Sí,SALVAGUARDAR  LA SOBERANIA NACIONAL,520
Trabajando,,,,,No,VENTA DE PRODUCTOS DE FERRETERIA,521
Oficios del hogar,No,Sí,,,Ya es pensionado,VENTA DE LICORES AL POR MENOR,522
Trabajando,,,,,No,SERVICIO DE LIMPIEZA DE PORTREROS CON PALA Y ARREGLO DE CERCOS EN FINCA GANADERA,523
Trabajando,,,,,No,CRIA Y LEVANTE DE GANADO VACUNO PARA LA PRODUCCION DE LECHE,524
Trabajando,,,,,No,RESTAURANTE DE ALMUERZOS Y PLATOS A LA CARTA ALQUILER DE PISCINA Y VENTA DE LICORES,525
Oficios del hogar,No,No,Sí,,No,VENTA DE ALMUERZOS Y COMIDA A LA CARTA ALQUILER DE PISCINA Y VENTA DE LICORES,526
Estudiando,No,No,Sí,,No,VENTA DE ALMUERZOS Y PLATOS A LA CARTA VENTA DE LICORES,527
Trabajando,,,,,Sí,DIGITACION,528
Trabajando,,,,,No,CULTIVO DE PINA,529
Oficios del hogar,Sí,,,,No,CULTIVO DE PAPA,530
Trabajando,,,,,Sí,VIGILANCIA PRIVADA,531
Buscando trabajo,Sí,,,,No,SERVICIO DE PAGO DE SERVICIOS Y DIMICILIOS,532
Trabajando,,,,,No,VENTA AMBULANTE DE BEBIDAS CALIENTES,533
Trabajando,,,,,No,SERVICIO DE MANIQUIR Y PEDIQUIR,534
Trabajando,,,,,No,PELUQUERIA Y OTROS TRATAMIENTOS DE BELLEZA,535
Trabajando,,,,,Ya es pensionado,ASESORIAS CONTABLES Y TRIBUTARIAS,536
Trabajando,,,,,No,PREPARACION DE ALIMENTOS,537
Trabajando,,,,,No,ELABORACION DE BIZCOCHOS MAIZ  Y ACHIRA,538
Trabajando,,,,,Ya es pensionado,PRODUCCION DE MORA,539
Trabajando,,,,,No,COMERCIO DE BEBIDAS CALIENTES,540
Trabajando,,,,,No,VENTA Y ALQUILER DE INMUEBLES,541
Trabajando,,,,,Sí,PRESTA SERVICIOS DE PERSONAL PARA ASEO EN COLEGIOS,542
Trabajando,,,,,Sí,RECOLECCION DE BASURAS DE LA CIUDAD,543
Trabajando,,,,,No,SERVICIO DE TRANSPORTE DE PERSONAS,544
Trabajando,,,,,Sí,ADMINISTRACION DE RECURSOS PUBLICOS,545
Trabajando,,,,,Sí,DISENO Y EJECUCION DE OBRAS CIVILES EJECUCION  DE PROYECTOS DE OBRAS PUBLICAS,546
Trabajando,,,,,No,PRESTA SERVICIO DE CONSTRUCCION Y REPARACION DE VIVIENDA,547
Trabajando,,,,,No,CAFETERIA Y PANADERIA,548
Trabajando,,,,,Sí,PRESTA SERVICIOS EN EL MERCADO FIDUCIARIO ENFOCADO A OFRECER CALIDAD EN LA ESTRUCTURA DE NEGOCIOS Y GESTION,549
Trabajando,,,,,Sí,COMPRA Y VENTA DE MOTOCICLETAS,550
Estudiando,Sí,,,,,SERVICIO DE PROCELITISMO POLITICO,551
Trabajando,,,,,Sí,PRESTACION DE SERVICIOS MEDICOS ODONTOLOGICOS,552
Trabajando,,,,,No,COMERCIO AL POR MENOR DE YUCA Y PLATANOS,553
Trabajando,,,,,Sí,FABRICA DE BEBIDAS GASEOSAS,554
Trabajando,,,,,Sí,OFRECER SERVICIO CLIENTE DE VARIAS EMPRESAS,555
Trabajando,,,,,No,LIMPIEZA DE POTREROS,556
Trabajando,,,,,No,TRANSPORTE TERRESTRE DE PASAJEROS EN MOTO,557
Trabajando,,,,,No,PRODUCCION DE YUCA Y PLATANO,558
Trabajando,,,,,No,SERVICIO DE ASEO EN OTRAS VIVIENDAS,559
Trabajando,,,,,No,SERVICIO DE ARREGLOS VIVIENDAS,560
Trabajando,,,,,Sí,ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO,561
Trabajando,,,,,Sí,ACTIVIDADES DE VENTA AL POR MENOR DE PLANTAS HORNAMENTALES,562
Trabajando,,,,,No,ELABORACION PRODUCTOS DE PANADERIA,563
Estudiando,No,No,No,No,No,None,564
Trabajando,,,,,Sí,ACTIVIDADES DE MENSAJERIA,565
Trabajando,,,,,Sí,SALVAGUARDAR LA SOBERANIA DE TODO EL PAIS,566
Trabajando,,,,,Sí,VENTA DE COMIDA SERVIDAS A LA MESA Y EN MOSTRADOR,567
Trabajando,,,,,No,SERVICIO DE CORTE DE CABELLO PARA CABALLEROS,568
Trabajando,,,,,No,VENTA AL POR MENOR DE ENVUELTOS,569
Oficios del hogar,Sí,,,,No,ACOMPANAMIENTO A NINOS HACIA EL COLEGIO,570
Oficios del hogar,Sí,,,,No,CONSTRUCCION DE OBRAS CIVILES Y RESIDENCIALES,571
Oficios del hogar,Sí,,,,No,SERVICIO DE ASEADORA DE VIVIENDA A VARIOS HOGARES,572
Buscando trabajo,Sí,,,,No,VENTA DE AGUA EN BIDONES,573
Trabajando,,,,,No,ESTUCAR Y ENCHAPAR PAREDES Y PISOS,574
Trabajando,,,,,Sí,SERVICIOS DE CONSTRUCCION DE EDIFICACIONES,575
Trabajando,,,,,No,ELABORACION DE ARTESANIAS EN MADERA,576
Estudiando,No,Sí,,,No,MAQUILLAR A PERSONAS,577
Trabajando,,,,,No,TRANSPORTE DE PASAJEROS,578
Trabajando,,,,,Sí,RECREACION AUDITIVA  TOQUE MUSICAL,579
Trabajando,,,,,Sí,EDUCACION BASICA PRIMARIA,580
Trabajando,,,,,Sí,VENTA DE ARTICULOS DE BELLEZA AL POR MENOR,581
Trabajando,,,,,No,MANTENIMIENTO DE ESTRUCTURAS METALICAS,582
Trabajando,,,,,No,PREPARACION DE ALIMENTOS PARA LA VENTA AL POR MENOR,583
Trabajando,,,,,Sí,VENTA DE PASADIAS TURISTICOS Y ALOJAMIENTOS EN PLAYAS Y HOTELES,584
Trabajando,,,,,No,DESARROLLAR ACTIVIDADES PROPIAS DEL HOGAR ASEO LAVADO  PLACHADO,585
Trabajando,,,,,Sí,ATENCION MEDICA DOMICILIARIA OFRECE PLANES DE SALUD COMPLEMENTARIO,586
Trabajando,,,,,Sí,ATENCION MEDICA DOMICILIARIA,587
Oficios del hogar,Sí,,,,No,ASEO EN OTROS HOGARES,588
Trabajando,,,,,No,TRANSPORTADORA DE ALIMENTOS,589
Trabajando,,,,,No,VENTA Y COMERCIALIZACION DE PRODUCTOS DE CATALOGO ESIKA AVON,590
Trabajando,,,,,Sí,CAFETERIA,591
Trabajando,,,,,Sí,VENDER ALIMENTOS,592
Trabajando,,,,,Sí,PREPARACION Y VENTA DE COMIDA,593
Trabajando,,,,,Sí,CONSTRUCCION DE OBRAS DE INFRAESTRUCTURA,594
Trabajando,,,,,Sí,SERVICIO DE ASESORIAS CONTABLES Y TRIBUTARIAS,595
Trabajando,,,,,Sí,HOGAR,596
Trabajando,,,,,No,PRODUCCION DE HUEVO GALLINA PONEDORA COMERCIAL,597
Trabajando,,,,,No,COMPRA Y VENTA AL POR MENOR DE QUESO Y SUERO,598
Trabajando,,,,,Sí,VENTA DE BEBIDAS ALCOHOLICAS AL POR MAYOR,599
Trabajando,,,,,Sí,EDUCACION BASICA PRIMARIA Y BACHILLER,600
Trabajando,,,,,Sí,PRESTA SERVICIOS DE TECNOLOGIA E INNOVACION,601
Trabajando,,,,,No,VENTA DE DETALLES ROMANTICOS Y CARTAS PARA TODO TIPO DE PUBLICO,602
Trabajando,,,,,Sí,COMERCIALIZACION Y DISTRIBUCION DE ALIMENTOS NUTRITIVOS,603
Trabajando,,,,,Sí,ORGANIZAR Y MANTENER AL DIA LOS REGISTROS FINANCIEROS TENEDURIA DE LIBROS,604
Trabajando,,,,,Sí,ESTABLECIMIENTO  DESTINADO A LA ENSENANZA EDUCACION BASICA PRIMARIA,605
Trabajando,,,,,No,VIVIENDA OCUPADA POR UN HOGAR CASA DE FAMILIA,606
Trabajando,,,,,Sí,ADMINISTRACION DEL RECURSO PESQUERO,607
Trabajando,,,,,No,MAESTRO DE CONSTRUCCION,608
Trabajando,,,,,Sí,CAPACITACION SOBRE SEGURIDAD Y SALUD EN TRABAJO,609
Trabajando,,,,,No,SERVICIO DE LIMPIEZA Y PINTURA CON BROCHA GORDA EN EDIFICACIONES DE CUALQUIER USO,610
Trabajando,,,,,Sí,SERVICIO PUBLICO DE EDUCACION DE BASICA SECUNDARIA,611
Trabajando,,,,,Sí,INSPECTORA DE CALIDAD,612
Estudiando,Sí,,,,No,EDUCACION PUBLICA SUPERIOR DEPARTAMENTAL,613
Trabajando,,,,,No,CULTIVO DE YUCA PLATANO MAIZ,614
Oficios del hogar,No,Sí,,,No,SIRMBRA DE PLATANO YUCA MAIZ,615
Otra actividad ¿cuál?,Sí,,,,No,ENSENANZA DE IDIOMA EXTRANJERO A JOVENES Y ADULTOS,616
Trabajando,,,,,Sí,PRODUCCION DE AZUCAR REFINADA,617
Oficios del hogar,Sí,,,,No,VENTA DE PRODUCTOS DE BELLEZA POR CATALOGO,618
Estudiando,Sí,,,,No,PREPARACION Y VENTA DE COMIDAS SERVIDAS A LA MESA,619
Trabajando,,,,,Sí,ACTIVIDADES DE RECOLCION DE DESECHOS,620
Trabajando,,,,,Sí,EDUCACION FORMAL EN PREESCOLAR BASICA PRIMARIA BASICA SECUNDARIA Y MEDIA,621
Trabajando,,,,,Sí,A MEJORAR LA CALIDAD DE LA VIDA DE LOS TRABAJARES Y SUS FAMILIAS POR MEDIO DE SUBSIDIOS Y SERVICIOS,622
Trabajando,,,,,Sí,ENSENANZA DE CONDUCION DE MOTO AUTOMOVILY DE CARGA PESADA,623
Oficios del hogar,Sí,,,,No,SERVICIO DOMESTICO A HOGAR,624
Buscando trabajo,Sí,,,,No,CULTIVO DE MAIZ,625
Trabajando,,,,,Sí,EDUCACION PRIMARIA Y SEGUNDARIA,626
Trabajando,,,,,No,MANTENIMIENTO  VENTA Y REPARACION DIVERSOS MODELOS DE BICICLETAS,627
Trabajando,,,,,No,VENTA AL POR MENOR DE GASEOSAS TAT,628
